player,pass_recipient,team,home_away,pass_count,location_x,location_y,count,location_x_end,location_y_end,count_end
Daniel Carvajal Ramos,Daniel Olmo Carvajal,Spain,home,6,65.61111111111111,71.92063492063492,63,74.14,39.4,25
Fabián Ruiz Peña,Daniel Olmo Carvajal,Spain,home,5,65.78928571428571,31.31607142857143,56,74.14,39.4,25
Nicholas Williams Arthuer,Daniel Olmo Carvajal,Spain,home,5,83.00975609756098,22.190243902439025,41,74.14,39.4,25
Aymeric Laporte,Fabián Ruiz Peña,Spain,home,7,48.28625,23.057499999999997,80,65.78928571428571,31.31607142857143,56
Daniel Carvajal Ramos,Fabián Ruiz Peña,Spain,home,11,65.61111111111111,71.92063492063492,63,65.78928571428571,31.31607142857143,56
Marc Cucurella Saseta,Fabián Ruiz Peña,Spain,home,10,65.91666666666667,9.795238095238094,42,65.78928571428571,31.31607142857143,56
Martín Zubimendi Ibáñez,Fabián Ruiz Peña,Spain,home,8,64.04347826086956,30.117391304347823,23,65.78928571428571,31.31607142857143,56
Nicholas Williams Arthuer,Fabián Ruiz Peña,Spain,home,5,83.00975609756098,22.190243902439025,41,65.78928571428571,31.31607142857143,56
Robin Aime Robert Le Normand,Fabián Ruiz Peña,Spain,home,8,46.1025,54.753750000000004,80,65.78928571428571,31.31607142857143,56
Rodrigo Hernández Cascante,Fabián Ruiz Peña,Spain,home,4,63.09655172413793,37.324137931034485,29,65.78928571428571,31.31607142857143,56
Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,Spain,home,16,65.61111111111111,71.92063492063492,63,83.375,63.29583333333333,24
Daniel Olmo Carvajal,Lamine Yamal Nasraoui Ebana,Spain,home,7,74.14,39.4,25,83.375,63.29583333333333,24
Nicholas Williams Arthuer,Lamine Yamal Nasraoui Ebana,Spain,home,6,83.00975609756098,22.190243902439025,41,83.375,63.29583333333333,24
Robin Aime Robert Le Normand,Lamine Yamal Nasraoui Ebana,Spain,home,4,46.1025,54.753750000000004,80,83.375,63.29583333333333,24
