minute,value,season,matchID,matchMinuteID,homeTeam,awayTeam
1.0,6,2024,11874023,11874023_1.0,Spain,
2.0,9,2024,11874023,11874023_2.0,Spain,
3.0,11,2024,11874023,11874023_3.0,Spain,
4.0,13,2024,11874023,11874023_4.0,Spain,
5.0,25,2024,11874023,11874023_5.0,Spain,
6.0,49,2024,11874023,11874023_6.0,Spain,
7.0,35,2024,11874023,11874023_7.0,Spain,
8.0,27,2024,11874023,11874023_8.0,Spain,
9.0,22,2024,11874023,11874023_9.0,Spain,
10.0,28,2024,11874023,11874023_10.0,Spain,
11.0,20,2024,11874023,11874023_11.0,Spain,
12.0,19,2024,11874023,11874023_12.0,Spain,
13.0,37,2024,11874023,11874023_13.0,Spain,
14.0,42,2024,11874023,11874023_14.0,Spain,
15.0,26,2024,11874023,11874023_15.0,Spain,
16.0,-21,2024,11874023,11874023_16.0,,England
17.0,-15,2024,11874023,11874023_17.0,,England
18.0,-5,2024,11874023,11874023_18.0,,England
19.0,10,2024,11874023,11874023_19.0,Spain,
20.0,10,2024,11874023,11874023_20.0,Spain,
21.0,13,2024,11874023,11874023_21.0,Spain,
22.0,23,2024,11874023,11874023_22.0,Spain,
23.0,12,2024,11874023,11874023_23.0,Spain,
24.0,27,2024,11874023,11874023_24.0,Spain,
25.0,38,2024,11874023,11874023_25.0,Spain,
26.0,23,2024,11874023,11874023_26.0,Spain,
27.0,20,2024,11874023,11874023_27.0,Spain,
28.0,21,2024,11874023,11874023_28.0,Spain,
29.0,44,2024,11874023,11874023_29.0,Spain,
30.0,3,2024,11874023,11874023_30.0,Spain,
31.0,-4,2024,11874023,11874023_31.0,,England
32.0,-5,2024,11874023,11874023_32.0,,England
33.0,8,2024,11874023,11874023_33.0,Spain,
34.0,2,2024,11874023,11874023_34.0,Spain,
35.0,11,2024,11874023,11874023_35.0,Spain,
36.0,46,2024,11874023,11874023_36.0,Spain,
37.0,40,2024,11874023,11874023_37.0,Spain,
38.0,29,2024,11874023,11874023_38.0,Spain,
39.0,19,2024,11874023,11874023_39.0,Spain,
40.0,12,2024,11874023,11874023_40.0,Spain,
41.0,6,2024,11874023,11874023_41.0,Spain,
42.0,4,2024,11874023,11874023_42.0,Spain,
43.0,37,2024,11874023,11874023_43.0,Spain,
44.0,44,2024,11874023,11874023_44.0,Spain,
45.0,6,2024,11874023,11874023_45.0,Spain,
45.5,-22,2024,11874023,11874023_45.5,,England
46.0,9,2024,11874023,11874023_46.0,Spain,
47.0,44,2024,11874023,11874023_47.0,Spain,
48.0,35,2024,11874023,11874023_48.0,Spain,
49.0,20,2024,11874023,11874023_49.0,Spain,
50.0,68,2024,11874023,11874023_50.0,Spain,
51.0,34,2024,11874023,11874023_51.0,Spain,
52.0,16,2024,11874023,11874023_52.0,Spain,
53.0,5,2024,11874023,11874023_53.0,Spain,
54.0,17,2024,11874023,11874023_54.0,Spain,
55.0,6,2024,11874023,11874023_55.0,Spain,
56.0,4,2024,11874023,11874023_56.0,Spain,
57.0,45,2024,11874023,11874023_57.0,Spain,
58.0,23,2024,11874023,11874023_58.0,Spain,
59.0,10,2024,11874023,11874023_59.0,Spain,
60.0,2,2024,11874023,11874023_60.0,Spain,
61.0,-5,2024,11874023,11874023_61.0,,England
62.0,-21,2024,11874023,11874023_62.0,,England
63.0,-14,2024,11874023,11874023_63.0,,England
64.0,-41,2024,11874023,11874023_64.0,,England
65.0,-35,2024,11874023,11874023_65.0,,England
66.0,-18,2024,11874023,11874023_66.0,,England
67.0,-5,2024,11874023,11874023_67.0,,England
68.0,58,2024,11874023,11874023_68.0,Spain,
69.0,40,2024,11874023,11874023_69.0,Spain,
70.0,86,2024,11874023,11874023_70.0,Spain,
71.0,56,2024,11874023,11874023_71.0,Spain,
72.0,33,2024,11874023,11874023_72.0,Spain,
73.0,14,2024,11874023,11874023_73.0,Spain,
74.0,14,2024,11874023,11874023_74.0,Spain,
75.0,5,2024,11874023,11874023_75.0,Spain,
76.0,8,2024,11874023,11874023_76.0,Spain,
77.0,-30,2024,11874023,11874023_77.0,,England
78.0,23,2024,11874023,11874023_78.0,Spain,
79.0,15,2024,11874023,11874023_79.0,Spain,
80.0,45,2024,11874023,11874023_80.0,Spain,
81.0,33,2024,11874023,11874023_81.0,Spain,
82.0,40,2024,11874023,11874023_82.0,Spain,
83.0,71,2024,11874023,11874023_83.0,Spain,
84.0,48,2024,11874023,11874023_84.0,Spain,
85.0,29,2024,11874023,11874023_85.0,Spain,
86.0,48,2024,11874023,11874023_86.0,Spain,
87.0,63,2024,11874023,11874023_87.0,Spain,
88.0,33,2024,11874023,11874023_88.0,Spain,
89.0,11,2024,11874023,11874023_89.0,Spain,
90.0,9,2024,11874023,11874023_90.0,Spain,
90.5,-65,2024,11874023,11874023_90.5,,England
