name,home,away,homeValue,awayValue,homeTotal,awayTotal,period
Goals,2,1,2,1,,,ALL
Ball possession,65%,35%,65,35,,,ALL
Expected goals,1.95,0.53,1.95,0.53,,,ALL
Big chances,5,2,5,2,,,ALL
Total shots,16,9,16,9,,,ALL
Goalkeeper saves,2,4,2,4,,,ALL
Corner kicks,10,2,10,2,,,ALL
Fouls,11,5,11,5,,,ALL
Passes,545,294,545,294,,,ALL
Tackles,15,18,15,18,,,ALL
Free kicks,5,11,5,11,,,ALL
Yellow cards,1,3,1,3,,,ALL
Total shots,16,9,16,9,,,ALL
Shots on target,6,4,6,4,,,ALL
Hit woodwork,0,0,0,0,,,ALL
Shots off target,5,2,5,2,,,ALL
Blocked shots,5,3,5,3,,,ALL
Shots inside box,12,5,12,5,,,ALL
Shots outside box,4,4,4,4,,,ALL
Big chances scored,2,0,2,0,,,ALL
Big chances missed,3,2,3,2,,,ALL
Through balls,1,1,1,1,,,ALL
Touches in penalty area,31,16,31,16,,,ALL
Fouled in final third,0,2,0,2,,,ALL
Offsides,1,0,1,0,,,ALL
Accurate passes,489,229,489,229,,,ALL
Throw-ins,21,11,21,11,,,ALL
Final third phase,128/152 (84%),55/93 (59%),128,55,152,93,ALL
Final third entries,45,43,45,43,,,ALL
Long balls,23/37 (62%),24/50 (48%),23,24,37,50,ALL
Crosses,4/25 (16%),1/7 (14%),4,1,25,7,ALL
Duels,45%,55%,45,55,,,ALL
Dispossessed,10,7,10,7,,,ALL
Ground duels,24/58 (41%),34/58 (59%),24,34,58,58,ALL
Aerial duels,13/25 (52%),12/25 (48%),13,12,25,25,ALL
Dribbles,4/12 (33%),5/13 (38%),4,5,12,13,ALL
Tackles won,73%,67%,11,12,15,18,ALL
Total tackles,15,18,15,18,,,ALL
Interceptions,4,6,4,6,,,ALL
Recoveries,39,41,39,41,,,ALL
Clearances,15,27,15,27,,,ALL
Total saves,2,4,2,4,,,ALL
Goals prevented,-0.45,0.16,-0.4502,0.1568,,,ALL
Goal kicks,6,11,6,11,,,ALL
Ball possession,69%,31%,69,31,,,1ST
Expected goals,0.29,0.15,0.29,0.15,,,1ST
Big chances,0,0,0,0,,,1ST
Total shots,5,3,5,3,,,1ST
Goalkeeper saves,1,1,1,1,,,1ST
Corner kicks,6,1,6,1,,,1ST
Passes,300,134,300,134,,,1ST
Tackles,8,9,8,9,,,1ST
Free kicks,2,6,2,6,,,1ST
Yellow cards,1,1,1,1,,,1ST
Total shots,5,3,5,3,,,1ST
Shots on target,1,1,1,1,,,1ST
Hit woodwork,0,0,0,0,,,1ST
Shots off target,1,0,1,0,,,1ST
Blocked shots,3,2,3,2,,,1ST
Shots inside box,4,2,4,2,,,1ST
Shots outside box,1,1,1,1,,,1ST
Big chances scored,0,0,0,0,,,1ST
Big chances missed,0,0,0,0,,,1ST
Through balls,0,0,0,0,,,1ST
Fouled in final third,0,1,0,1,,,1ST
Offsides,0,0,0,0,,,1ST
Accurate passes,265,100,265,100,,,1ST
Throw-ins,11,4,11,4,,,1ST
Final third entries,27,21,27,21,,,1ST
Long balls,10/16 (63%),12/22 (55%),10,12,16,22,1ST
Crosses,1/14 (7%),0/4 (0%),1,0,14,4,1ST
Duels,43%,57%,43,57,,,1ST
Dispossessed,5,4,5,4,,,1ST
Ground duels,12/31 (39%),19/31 (61%),12,19,31,31,1ST
Aerial duels,8/15 (53%),7/15 (47%),8,7,15,15,1ST
Dribbles,2/6 (33%),4/8 (50%),2,4,6,8,1ST
Tackles won,63%,78%,5,7,8,9,1ST
Total tackles,8,9,8,9,,,1ST
Interceptions,3,4,3,4,,,1ST
Recoveries,25,24,25,24,,,1ST
Clearances,6,14,6,14,,,1ST
Total saves,1,1,1,1,,,1ST
Goal kicks,1,5,1,5,,,1ST
Ball possession,61%,39%,61,39,,,2ND
Expected goals,1.66,0.38,1.66,0.38,,,2ND
Big chances,5,2,5,2,,,2ND
Total shots,11,6,11,6,,,2ND
Goalkeeper saves,1,3,1,3,,,2ND
Corner kicks,4,1,4,1,,,2ND
Passes,245,160,245,160,,,2ND
Tackles,7,9,7,9,,,2ND
Free kicks,3,5,3,5,,,2ND
Yellow cards,0,2,0,2,,,2ND
Total shots,11,6,11,6,,,2ND
Shots on target,5,3,5,3,,,2ND
Hit woodwork,0,0,0,0,,,2ND
Shots off target,4,2,4,2,,,2ND
Blocked shots,2,1,2,1,,,2ND
Shots inside box,8,3,8,3,,,2ND
Shots outside box,3,3,3,3,,,2ND
Big chances scored,2,0,2,0,,,2ND
Big chances missed,3,2,3,2,,,2ND
Through balls,1,1,1,1,,,2ND
Fouled in final third,0,1,0,1,,,2ND
Offsides,1,0,1,0,,,2ND
Accurate passes,224,129,224,129,,,2ND
Throw-ins,10,7,10,7,,,2ND
Final third entries,18,22,18,22,,,2ND
Long balls,13/21 (62%),12/28 (43%),13,12,21,28,2ND
Crosses,3/11 (27%),1/3 (33%),3,1,11,3,2ND
Duels,46%,54%,46,54,,,2ND
Dispossessed,5,3,5,3,,,2ND
Ground duels,12/27 (44%),15/27 (56%),12,15,27,27,2ND
Aerial duels,5/10 (50%),5/10 (50%),5,5,10,10,2ND
Dribbles,2/6 (33%),1/5 (20%),2,1,6,5,2ND
Tackles won,86%,56%,6,5,7,9,2ND
Total tackles,7,9,7,9,,,2ND
Interceptions,1,2,1,2,,,2ND
Recoveries,14,17,14,17,,,2ND
Clearances,9,13,9,13,,,2ND
Total saves,1,3,1,3,,,2ND
Goal kicks,5,6,5,6,,,2ND
