player,team,goal_status,location_x,location_y
,,,mean,mean
Aymeric Laporte,Spain,1-46,48.009032258064515,26.05741935483871
Aymeric Laporte,Spain,46-72,41.30952380952381,20.6
Aymeric Laporte,Spain,72-85,40.19772727272727,23.904545454545453
Aymeric Laporte,Spain,85-94,34.06666666666667,24.933333333333334
Bukayo Saka,England,1-46,65.38653846153846,65.08846153846153
Bukayo Saka,England,46-72,85.00681818181819,71.61363636363636
Bukayo Saka,England,72-85,74.0,64.4
Bukayo Saka,England,85-94,101.5,76.3
Cole Palmer,England,46-72,77.56666666666666,63.28333333333333
Cole Palmer,England,72-85,71.09411764705882,57.199999999999996
Cole Palmer,England,85-94,68.5125,47.975
Daniel Carvajal Ramos,Spain,1-46,60.23712121212122,71.2780303030303
Daniel Carvajal Ramos,Spain,46-72,57.19795918367347,65.72244897959183
Daniel Carvajal Ramos,Spain,72-85,90.8029411764706,68.63529411764705
Daniel Carvajal Ramos,Spain,85-94,21.95,62.3
Daniel Olmo Carvajal,Spain,1-46,74.94027777777778,40.048611111111114
Daniel Olmo Carvajal,Spain,46-72,75.28888888888889,42.120000000000005
Daniel Olmo Carvajal,Spain,72-85,77.67241379310344,37.39655172413793
Daniel Olmo Carvajal,Spain,85-94,27.85,42.6
Declan Rice,England,1-46,49.12280701754386,37.492982456140346
Declan Rice,England,46-72,53.75,36.854838709677416
Declan Rice,England,72-85,45.686666666666675,50.306666666666665
Declan Rice,England,85-94,83.27142857142857,40.82857142857143
Fabián Ruiz Peña,Spain,1-46,69.36972477064221,33.61284403669725
Fabián Ruiz Peña,Spain,46-72,60.82835820895522,26.51044776119403
Fabián Ruiz Peña,Spain,72-85,64.42040816326531,48.22857142857143
Fabián Ruiz Peña,Spain,85-94,37.55,27.200000000000003
Harry Kane,England,1-46,72.00425531914894,38.159574468085104
Harry Kane,England,46-72,90.07000000000001,40.94
Ivan Toney,England,85-94,89.3,43.3
John Stones,England,1-46,37.53333333333333,51.82166666666667
John Stones,England,46-72,41.7625,48.5625
John Stones,England,72-85,30.99090909090909,62.66363636363636
