player,location_x,location_y,location_y
,mean,mean,count
Aymeric Laporte,45.27581967213114,24.715983606557376,244
Bukayo Saka,75.24067796610169,67.79661016949153,118
Cole Palmer,72.63513513513513,57.178378378378376,37
Daniel Carvajal Ramos,63.98709677419355,69.52672811059908,217
Daniel Olmo Carvajal,74.94527027027027,40.193243243243245,148
Declan Rice,52.48723404255319,38.741134751773046,141
Fabián Ruiz Peña,65.5,34.61497797356829,227
Harry Kane,75.1736842105263,38.64736842105263,57
Ivan Toney,89.3,43.3,4
John Stones,38.42053571428572,51.330357142857146,112
Jordan Pickford,13.793693693693692,37.46756756756756,111
José Ignacio Fernández Iglesias,36.07272727272727,40.79090909090909,11
Jude Bellingham,64.33491124260355,21.763313609467456,169
Kobbie Mainoo,56.74597701149425,48.59540229885058,87
Kyle Walker,51.9865671641791,65.50597014925373,134
Lamine Yamal Nasraoui Ebana,82.25850340136054,63.076870748299314,147
Luke Shaw,61.18470588235294,11.329411764705883,85
Marc Cucurella Saseta,63.46641791044776,11.60223880597015,134
Marc Guehi,43.68,24.55,90
Martín Zubimendi Ibáñez,62.4314606741573,34.91123595505618,89
Mikel Merino Zazón,80.34285714285714,37.628571428571426,7
Mikel Oyarzabal Ugarte,87.896,37.356,25
Nicholas Williams Arthuer,78.33809523809524,20.447089947089946,189
Ollie Watkins,93.035,41.21,20
Phil Foden,61.77672413793104,42.25,116
Robin Aime Robert Le Normand,43.54857142857143,53.33387755102041,245
Rodrigo Hernández Cascante,56.96826923076923,41.549038461538466,104
Unai Simón Mendibil,10.74909090909091,40.38363636363636,110
Álvaro Borja Morata Martín,72.35943396226415,41.75660377358491,106
