unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,unnamed: 19_level_0_ast,unnamed: 20_level_0_xag,unnamed: 21_level_0_xa,unnamed: 22_level_0_kp,unnamed: 23_level_0_1/3,unnamed: 24_level_0_ppa,unnamed: 25_level_0_crspa,unnamed: 26_level_0_prgp,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,unnamed: 5_level_0_att,pass types_live,pass types_dead,pass types_fk,pass types_tb,pass types_sw,pass types_crs,pass types_ti,pass types_ck,corner kicks_in,corner kicks_out,corner kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,unnamed: 17_level_0_int,unnamed: 18_level_0_tkl+int,unnamed: 19_level_0_clr,unnamed: 20_level_0_err,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial duels_won,aerial duels_lost,aerial duels_won%,team_
Álvaro Morata,7.0,FW,31-265,67,0,0,0,0,3,0,0,0,29,0,0,0,0.3,0.3,0.0,1,0,15,20,75.0,1,12,0,1,0,Álvaro Morata,7.0,FW,31-265,67,15,20,75.0,188,25,12,14,85.7,1,1,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,Álvaro Morata,7.0,FW,31-265,67,20,19,1,0,0,0,0,0,0,0,0,0,15,0,3,Álvaro Morata,7.0,FW,31-265,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Álvaro Morata,7.0,FW,31-265,67,29,1,3,14,12,5,29,1,0,0.0,1,100.0,12,49,15,0,0,0,2,0,19,7,Álvaro Morata,7.0,FW,31-265,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3,Home
Mikel Oyarzabal,21.0,FW,27-084,23,1,0,0,0,2,2,0,0,8,1,0,0,0.5,0.5,0.0,1,1,3,4,75.0,0,5,0,0,0,Mikel Oyarzabal,21.0,FW,27-084,23,3,4,75.0,40,2,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Mikel Oyarzabal,21.0,FW,27-084,23,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0,Mikel Oyarzabal,21.0,FW,27-084,23,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Mikel Oyarzabal,21.0,FW,27-084,23,8,0,0,2,6,3,8,0,0,,0,,5,3,1,0,0,0,1,0,5,3,Mikel Oyarzabal,21.0,FW,27-084,23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,Home
Nico Williams,17.0,LW,22-002,90,1,0,0,0,3,1,0,0,61,0,0,1,0.2,0.2,0.7,6,0,40,52,76.9,6,41,8,4,1,Nico Williams,17.0,LW,22-002,90,40,52,76.9,665,162,25,25,100.0,7,12,58.3,6,10,60.0,0,0.7,0.3,3,1,3,0,6,Nico Williams,17.0,LW,22-002,90,52,46,6,0,0,2,10,0,6,5,0,0,40,0,3,Nico Williams,17.0,LW,22-002,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Nico Williams,17.0,LW,22-002,90,61,0,5,21,37,4,61,4,1,25.0,2,50.0,41,259,143,8,2,2,2,1,44,8,Nico Williams,17.0,LW,22-002,90,0,0,0,3,0,0,10,0,0,0,0,0,7,0,1,0.0,Home
Lamine Yamal,19.0,RW,17-001,88,0,1,0,0,2,2,0,0,47,1,0,1,0.2,0.2,0.3,4,1,24,37,64.9,5,37,2,2,0,Lamine Yamal,19.0,RW,17-001,88,24,37,64.9,378,113,12,15,80.0,12,17,70.6,0,3,0.0,1,0.3,0.2,3,1,2,0,5,Lamine Yamal,19.0,RW,17-001,88,37,32,5,0,2,0,6,1,4,3,0,0,24,0,3,Lamine Yamal,19.0,RW,17-001,88,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0,Lamine Yamal,19.0,RW,17-001,88,47,0,1,15,31,6,47,2,0,0.0,2,100.0,37,159,75,2,3,4,2,1,40,8,Lamine Yamal,19.0,RW,17-001,88,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,50.0,Home
Mikel Merino,6.0,AM,28-022,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Mikel Merino,6.0,AM,28-022,2,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Mikel Merino,6.0,AM,28-022,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mikel Merino,6.0,AM,28-022,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Mikel Merino,6.0,AM,28-022,2,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Mikel Merino,6.0,AM,28-022,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100.0,Home
Dani Olmo,10.0,"AM,RW",26-068,90,0,0,0,0,2,0,1,0,42,1,0,1,0.6,0.6,0.1,4,0,26,32,81.3,4,24,3,1,0,Dani Olmo,10.0,"AM,RW",26-068,90,26,32,81.3,376,131,13,14,92.9,9,12,75.0,1,2,50.0,0,0.1,0.1,2,3,1,0,4,Dani Olmo,10.0,"AM,RW",26-068,90,32,31,0,0,0,0,2,0,0,0,0,0,26,1,0,Dani Olmo,10.0,"AM,RW",26-068,90,1,0,0,1,0,0,1,0.0,1,1,1,0,0,1,0,0,Dani Olmo,10.0,"AM,RW",26-068,90,42,1,3,21,19,3,42,1,0,0.0,1,100.0,24,111,68,3,1,1,4,0,31,4,Dani Olmo,10.0,"AM,RW",26-068,90,1,0,0,1,0,0,2,0,0,0,0,0,4,0,2,0.0,Home
Fabián Ruiz Peña,8.0,DM,28-102,90,0,0,0,0,2,1,0,0,75,4,0,2,0.1,0.1,0.1,1,0,54,63,85.7,5,51,5,2,1,Fabián Ruiz Peña,8.0,DM,28-102,90,54,63,85.7,900,171,29,32,90.6,17,20,85.0,6,7,85.7,0,0.1,0.1,1,6,0,0,5,Fabián Ruiz Peña,8.0,DM,28-102,90,63,61,2,1,0,0,1,1,0,0,0,0,54,0,1,Fabián Ruiz Peña,8.0,DM,28-102,90,4,4,2,0,2,4,5,80.0,1,2,0,2,0,4,0,0,Fabián Ruiz Peña,8.0,DM,28-102,90,75,0,11,43,22,4,75,2,1,50.0,1,50.0,51,269,140,5,2,1,0,5,58,4,Fabián Ruiz Peña,8.0,DM,28-102,90,0,0,0,0,1,0,1,0,4,0,0,0,6,1,0,100.0,Home
Rodri,16.0,DM,28-022,45,0,0,0,0,0,0,0,0,36,1,1,2,0.0,0.0,0.1,2,0,29,33,87.9,0,21,1,0,0,Rodri,16.0,DM,28-022,45,29,33,87.9,500,79,11,14,78.6,15,16,93.8,2,2,100.0,0,0.1,0.2,1,2,0,0,0,Rodri,16.0,DM,28-022,45,33,33,0,0,0,0,0,0,0,0,0,0,29,0,0,Rodri,16.0,DM,28-022,45,1,1,0,1,0,0,2,0.0,2,2,2,0,1,2,0,0,Rodri,16.0,DM,28-022,45,36,1,8,20,8,1,36,0,0,,0,,21,82,48,1,1,0,0,0,27,0,Rodri,16.0,DM,28-022,45,0,0,0,2,0,0,0,1,1,0,0,0,3,1,0,100.0,Home
Martín Zubimendi,18.0,DM,25-163,45,0,0,0,0,0,0,0,0,30,3,0,0,0.0,0.0,0.0,2,0,24,27,88.9,2,24,3,1,1,Martín Zubimendi,18.0,DM,25-163,45,24,27,88.9,354,66,11,12,91.7,10,10,100.0,1,2,50.0,0,0.0,0.0,1,1,1,0,2,Martín Zubimendi,18.0,DM,25-163,45,27,27,0,0,0,0,1,0,0,0,0,0,24,0,1,Martín Zubimendi,18.0,DM,25-163,45,3,2,1,1,1,2,2,100.0,0,0,0,0,0,3,0,0,Martín Zubimendi,18.0,DM,25-163,45,30,0,5,19,8,0,30,1,1,100.0,0,0.0,24,207,118,3,3,0,0,0,26,2,Martín Zubimendi,18.0,DM,25-163,45,0,0,0,0,1,0,1,0,2,0,0,0,3,0,0,,Home
Marc Cucurella,24.0,LB,25-358,90,0,1,0,0,0,0,0,0,49,0,2,0,0.0,0.0,0.5,2,1,41,44,93.2,4,23,0,0,0,Marc Cucurella,24.0,LB,25-358,90,41,44,93.2,586,188,23,25,92.0,18,18,100.0,0,0,,1,0.5,0.2,1,0,1,1,4,Marc Cucurella,24.0,LB,25-358,90,44,39,5,0,0,0,1,5,0,0,0,0,41,0,2,Marc Cucurella,24.0,LB,25-358,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Marc Cucurella,24.0,LB,25-358,90,49,2,12,23,14,0,49,0,0,,0,,23,48,16,0,1,0,0,0,33,3,Marc Cucurella,24.0,LB,25-358,90,0,0,0,2,1,0,1,2,0,0,0,0,0,1,0,100.0,Home
