player,pass_recipient,team,home_away,pass_count
Aymeric Laporte,Daniel Olmo Carvajal,Spain,home,3
Aymeric Laporte,Fabián Ruiz Peña,Spain,home,7
Aymeric Laporte,Lamine Yamal Nasraoui Ebana,Spain,home,1
Aymeric Laporte,Marc Cucurella Saseta,Spain,home,14
Aymeric Laporte,Martín Zubimendi Ibáñez,Spain,home,3
Aymeric Laporte,Nicholas Williams Arthuer,Spain,home,7
Aymeric Laporte,Robin Aime Robert Le Normand,Spain,home,29
Aymeric Laporte,Rodrigo Hernández Cascante,Spain,home,7
Aymeric Laporte,Unai Simón Mendibil,Spain,home,8
Aymeric Laporte,Álvaro Borja Morata Martín,Spain,home,1
Bukayo Saka,Cole Palmer,England,away,1
Bukayo Saka,Declan Rice,England,away,2
Bukayo Saka,John Stones,England,away,2
Bukayo Saka,Jude Bellingham,England,away,2
Bukayo Saka,Kobbie Mainoo,England,away,3
Bukayo Saka,Kyle Walker,England,away,7
Bukayo Saka,Phil Foden,England,away,4
Cole Palmer,Bukayo Saka,England,away,3
Cole Palmer,Declan Rice,England,away,1
Cole Palmer,Jude Bellingham,England,away,1
Cole Palmer,Marc Guehi,England,away,1
Daniel Carvajal Ramos,Aymeric Laporte,Spain,home,3
Daniel Carvajal Ramos,Daniel Olmo Carvajal,Spain,home,6
Daniel Carvajal Ramos,Fabián Ruiz Peña,Spain,home,11
Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,Spain,home,16
Daniel Carvajal Ramos,Martín Zubimendi Ibáñez,Spain,home,2
Daniel Carvajal Ramos,Mikel Oyarzabal Ugarte,Spain,home,2
Daniel Carvajal Ramos,Nicholas Williams Arthuer,Spain,home,1
Daniel Carvajal Ramos,Robin Aime Robert Le Normand,Spain,home,9
Daniel Carvajal Ramos,Rodrigo Hernández Cascante,Spain,home,5
Daniel Carvajal Ramos,Unai Simón Mendibil,Spain,home,5
Daniel Carvajal Ramos,Álvaro Borja Morata Martín,Spain,home,3
Daniel Olmo Carvajal,Daniel Carvajal Ramos,Spain,home,3
Daniel Olmo Carvajal,Fabián Ruiz Peña,Spain,home,3
Daniel Olmo Carvajal,Lamine Yamal Nasraoui Ebana,Spain,home,7
Daniel Olmo Carvajal,Marc Cucurella Saseta,Spain,home,1
Daniel Olmo Carvajal,Martín Zubimendi Ibáñez,Spain,home,3
Daniel Olmo Carvajal,Mikel Oyarzabal Ugarte,Spain,home,1
Daniel Olmo Carvajal,Nicholas Williams Arthuer,Spain,home,5
Daniel Olmo Carvajal,Rodrigo Hernández Cascante,Spain,home,1
Daniel Olmo Carvajal,Álvaro Borja Morata Martín,Spain,home,1
Declan Rice,Bukayo Saka,England,away,1
Declan Rice,Harry Kane,England,away,1
Declan Rice,John Stones,England,away,6
Declan Rice,Jordan Pickford,England,away,1
Declan Rice,Jude Bellingham,England,away,8
Declan Rice,Kyle Walker,England,away,7
Declan Rice,Luke Shaw,England,away,3
Declan Rice,Marc Guehi,England,away,4
Declan Rice,Phil Foden,England,away,1
Fabián Ruiz Peña,Aymeric Laporte,Spain,home,8
Fabián Ruiz Peña,Daniel Carvajal Ramos,Spain,home,8
Fabián Ruiz Peña,Daniel Olmo Carvajal,Spain,home,5
Fabián Ruiz Peña,José Ignacio Fernández Iglesias,Spain,home,1
Fabián Ruiz Peña,Lamine Yamal Nasraoui Ebana,Spain,home,2
Fabián Ruiz Peña,Marc Cucurella Saseta,Spain,home,6
Fabián Ruiz Peña,Martín Zubimendi Ibáñez,Spain,home,4
Fabián Ruiz Peña,Nicholas Williams Arthuer,Spain,home,7
Fabián Ruiz Peña,Robin Aime Robert Le Normand,Spain,home,7
Fabián Ruiz Peña,Rodrigo Hernández Cascante,Spain,home,4
Fabián Ruiz Peña,Unai Simón Mendibil,Spain,home,2
Fabián Ruiz Peña,Álvaro Borja Morata Martín,Spain,home,2
Harry Kane,Bukayo Saka,England,away,1
Harry Kane,Jude Bellingham,England,away,1
Harry Kane,Kobbie Mainoo,England,away,1
Harry Kane,Luke Shaw,England,away,1
Harry Kane,Phil Foden,England,away,1
John Stones,Bukayo Saka,England,away,3
John Stones,Declan Rice,England,away,4
John Stones,Jordan Pickford,England,away,10
John Stones,Jude Bellingham,England,away,1
John Stones,Kyle Walker,England,away,3
John Stones,Luke Shaw,England,away,2
John Stones,Marc Guehi,England,away,3
John Stones,Phil Foden,England,away,4
